"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"EG","X712",0,"",78,0,1,1,0,16.6666666666667,0,17.7777777777778,6,135,25,12,0,40,"AB seed","0",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
"SP","X713",0,"",78,0,1,1,0,16.6666666666667,0,17.7777777777778,6,135,25,12,0,40,"AB seed","0",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"EG","X718",0,"",79,1,60,1,0,10,1,11,10,350,6,9,0,80,"EG seed","0",NA,NA,"fungicide",1,0.004
"SP","X719",0,"",79,1,60,1,0,10,1,11,10,350,6,9,0,80,"EG seed","0",NA,NA,"fungicide",0.5,5e-04
"EG","X720",0,"",79,1,60,1,0,10,1,11,10,350,6,9,0,80,"EG seed","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"EG","X722",0,"",80,1,0,2,2,31.1111111111111,0,6.66666666666667,0,490,12,13.3333333333333,0,10,"BH seed","0",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"SP","X726",0,"",80,1,0,2,2,31.1111111111111,0,6.66666666666667,0,490,12,13.3333333333333,0,10,"BH seed","0",NA,NA,NA,NA,NA
"SP","X723",0,"",80,1,0,2,2,31.1111111111111,0,6.66666666666667,0,490,12,13.3333333333333,0,10,"BH seed","0",NA,NA,"ambient",1,0.0366666666666667
"EG","X728",0,"",81,1,0,1,3,960,0,38.8888888888889,0,23.3333333333333,6,4,0,100,"BH seed","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"SP","X727",0,"",81,1,0,1,3,960,0,38.8888888888889,0,23.3333333333333,6,4,0,100,"BH seed","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"EG","X737",0,"",82,1,3,1,0,15,0,50,0,150,100,5,0,100,"AB seed","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"EG","X790",0,"",83,1,7,1,1,16,3,17.7777777777778,0,40,22.2222222222222,2,0,40,"AB seed","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"SP","X793",0,"",83,1,7,1,1,16,3,17.7777777777778,0,40,22.2222222222222,2,0,40,"AB seed","0",NA,NA,"fungicide",0.666666666666667,0.00666666666666667
"EG","X797",0,"",84,5,4,1,1,35.5555555555556,8,20,0,120,20,6,0,8,"EG adults","0",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"SP","X798",0,"",84,5,4,1,1,35.5555555555556,8,20,0,120,20,6,0,8,"EG adults","0",NA,NA,"ambient",1,0.007
